U    , I
0    , -1.344581E-09
0.01 , 2.210800E-08
0.02 , 5.502991E-08
0.03 , 9.605209E-08
0.04 , 1.658252E-07
0.05 , 2.652276E-07
0.06 , 4.139605E-07
0.07 , 6.206365E-07
0.08 , 8.961514E-07
0.09 , 1.270716E-06
0.1  , 1.765175E-06
0.11 , 2.401742E-06
0.12 , 3.205870E-06
0.13 , 4.141742E-06
0.14 , 5.205609E-06
0.15 , 6.346898E-06
0.16 , 7.517953E-06
0.17 , 8.634121E-06
0.18 , 9.666300E-06
0.19 , 1.056052E-05
0.2  , 1.130715E-05
0.21 , 1.192629E-05
0.22 , 1.242112E-05
0.23 , 1.283037E-05
0.24 , 1.311882E-05
0.25 , 1.335863E-05
0.26 , 1.352191E-05
0.27 , 1.364906E-05
0.28 , 1.374155E-05
0.29 , 1.382718E-05
0.3  , 1.388074E-05
0.31 , 1.390135E-05
0.32 , 1.393728E-05
0.33 , 1.397683E-05
0.34 , 1.399166E-05
0.35 , 1.401024E-05
0.36 , 1.402298E-05
0.37 , 1.403599E-05
0.38 , 1.404129E-05
0.39 , 1.404239E-05
0.4  , 1.403976E-05
0.41 , 1.404730E-05
0.42 , 1.409627E-05
0.43 , 1.410700E-05
0.44 , 1.409072E-05
0.45 , 1.409928E-05
0.46 , 1.409902E-05
0.47 , 1.410872E-05
0.48 , 1.414154E-05
0.49 , 1.411160E-05
0.5  , 1.411294E-05
0.51 , 1.412253E-05
0.52 , 1.412056E-05
0.53 , 1.413624E-05
0.54 , 1.413133E-05
0.55 , 1.415369E-05
0.56 , 1.412947E-05
0.57 , 1.413508E-05
0.58 , 1.414839E-05
0.59 , 1.415177E-05
0.6  , 1.415151E-05
0.61 , 1.416379E-05
0.62 , 1.417635E-05
0.63 , 1.418791E-05
0.64 , 1.418870E-05
0.65 , 1.419613E-05
0.66 , 1.418966E-05
0.67 , 1.415366E-05
0.68 , 1.415506E-05
0.69 , 1.415872E-05
0.7  , 1.415099E-05
0.71 , 1.418595E-05
0.72 , 1.416243E-05
0.73 , 1.418599E-05
0.74 , 1.419082E-05
0.75 , 1.419950E-05
0.76 , 1.421086E-05
0.77 , 1.421683E-05
0.78 , 1.421882E-05
0.79 , 1.423983E-05
0.8  , 1.422021E-05
0.81 , 1.421284E-05
0.82 , 1.421646E-05
0.83 , 1.421200E-05
0.84 , 1.421962E-05
0.85 , 1.423602E-05
0.86 , 1.424317E-05
0.87 , 1.425804E-05
0.88 , 1.426442E-05
0.89 , 1.427595E-05
0.9  , 1.426360E-05
0.91 , 1.427060E-05
0.92 , 1.432440E-05
0.93 , 1.428387E-05
0.94 , 1.422710E-05
0.95 , 1.423515E-05
0.96 , 1.424690E-05
0.97 , 1.425450E-05
0.98 , 1.425532E-05
0.99 , 1.427758E-05
1    , 1.434334E-05

